Comunidad Autónoma,Provincia,año,cob_100mbps
CASTILLA-LA MANCHA,Albacete,2013,0.5259287182253989
CASTILLA-LA MANCHA,Albacete,2014,0.5296832078800676
CASTILLA-LA MANCHA,Albacete,2015,0.5375513492782533
CASTILLA-LA MANCHA,Albacete,2016,0.5367443313014003
CASTILLA-LA MANCHA,Albacete,2017,0.6216087636167863
CASTILLA-LA MANCHA,Albacete,2018,0.7469870485565688
CASTILLA-LA MANCHA,Albacete,2019,0.8850034964302771
CASTILLA-LA MANCHA,Albacete,2020,0.9207787963029151
CASTILLA-LA MANCHA,Albacete,2021,0.8754158964879852
CASTILLA-LA MANCHA,Albacete,2022,0.9006563181878587
CASTILLA-LA MANCHA,Albacete,2023,0.9251534117195206
CASTILLA-LA MANCHA,Albacete,2024,0.9297568539991462
COMUNITAT VALENCIANA,Alicante/Alacant,2013,0.5088916439626128
COMUNITAT VALENCIANA,Alicante/Alacant,2014,0.5234996632067899
COMUNITAT VALENCIANA,Alicante/Alacant,2015,0.5927499121193431
COMUNITAT VALENCIANA,Alicante/Alacant,2016,0.6112854876411544
COMUNITAT VALENCIANA,Alicante/Alacant,2017,0.7069838892371395
COMUNITAT VALENCIANA,Alicante/Alacant,2018,0.7977634862392313
COMUNITAT VALENCIANA,Alicante/Alacant,2019,0.8462530017968646
COMUNITAT VALENCIANA,Alicante/Alacant,2020,0.9087873275148888
COMUNITAT VALENCIANA,Alicante/Alacant,2021,0.883214201158043
COMUNITAT VALENCIANA,Alicante/Alacant,2022,0.9294347388906182
COMUNITAT VALENCIANA,Alicante/Alacant,2023,0.9459310114500196
COMUNITAT VALENCIANA,Alicante/Alacant,2024,0.9546456516845275
ANDALUCÍA,Almería,2013,0.2991602004680438
ANDALUCÍA,Almería,2014,0.2715176392981367
ANDALUCÍA,Almería,2015,0.39837488181006164
ANDALUCÍA,Almería,2016,0.4525381337582865
ANDALUCÍA,Almería,2017,0.5644888270837365
ANDALUCÍA,Almería,2018,0.6512600148821123
ANDALUCÍA,Almería,2019,0.6784424954986863
ANDALUCÍA,Almería,2020,0.7196700731307859
ANDALUCÍA,Almería,2021,0.8575419606735142
ANDALUCÍA,Almería,2022,0.8828112732619278
ANDALUCÍA,Almería,2023,0.9254560506593853
ANDALUCÍA,Almería,2024,0.9319736096201859
PAIS VASCO,Araba/Álava,2013,0.7378477434443202
PAIS VASCO,Araba/Álava,2014,0.750794103635152
PAIS VASCO,Araba/Álava,2015,0.7749343461720208
PAIS VASCO,Araba/Álava,2016,0.8345363392528087
PAIS VASCO,Araba/Álava,2017,0.8480139145425828
PAIS VASCO,Araba/Álava,2018,0.8542730823765242
PAIS VASCO,Araba/Álava,2019,0.90412699367434
PAIS VASCO,Araba/Álava,2020,0.9170071666875091
PAIS VASCO,Araba/Álava,2021,0.9585483410219475
